Date,Store,Date,Weekly_Sales,IsHoliday
2011-01-07,19,2011-01-07,62914.74,False
2011-01-07,7,2011-01-07,22453.86,False
2011-01-07,40,2011-01-07,62060.77,False
2011-01-07,18,2011-01-07,17353.36,False
2011-01-07,28,2011-01-07,82551.98,False
2011-01-07,6,2011-01-07,51733.24,False
2011-01-07,29,2011-01-07,11249.03,False
2011-01-07,5,2011-01-07,2887.47,False
2011-01-07,41,2011-01-07,71234.88,False
2011-01-07,39,2011-01-07,72505.1,False
2011-01-07,30,2011-01-07,32428.73,False
2011-01-07,16,2011-01-07,7220.72,False
2011-01-07,17,2011-01-07,41462.21,False
2011-01-07,26,2011-01-07,56516.55,False
2011-01-07,43,2011-01-07,63399.53,False
2011-01-07,36,2011-01-07,40188.21,False
2011-01-07,44,2011-01-07,28656.69,False
2011-01-07,31,2011-01-07,82128.92,False
2011-01-07,38,2011-01-07,36220.54,False
2011-01-07,25,2011-01-07,10167.22,False
2011-01-07,33,2011-01-07,24609.66,False
2011-01-07,35,2011-01-07,12099.74,False
2011-01-07,34,2011-01-07,42511.53,False
2011-01-07,4,2011-01-07,86035.62,False
2011-01-07,20,2011-01-07,93681.49,False
2011-01-07,2,2011-01-07,97907.89,False
2011-01-07,37,2011-01-07,44292.14,False
2011-01-07,24,2011-01-07,70971.83,False
2011-01-07,11,2011-01-07,47370.18,False
2011-01-07,32,2011-01-07,60184.08,False
2011-01-07,27,2011-01-07,96975.7,False
2011-01-07,21,2011-01-07,10092.15,False
2011-01-07,12,2011-01-07,9909.71,False
2011-01-07,3,2011-01-07,1239.56,False
2011-01-07,9,2011-01-07,2633.62,False
2011-01-07,14,2011-01-07,107680.58,False
2011-01-07,42,2011-01-07,60501.67,False
2011-01-07,15,2011-01-07,5571.51,False
2011-01-07,10,2011-01-07,15579.51,False
2011-01-07,23,2011-01-07,23536.07,False
2011-01-07,1,2011-01-07,78502.53,False
2011-01-07,22,2011-01-07,21820.5,False
2011-01-07,8,2011-01-07,39461.47,False
2011-01-07,13,2011-01-07,110972.81,False
2011-01-07,45,2011-01-07,23261.21,False
2011-01-14,2,2011-01-14,103298.88,False
2011-01-14,30,2011-01-14,36175.06,False
2011-01-14,22,2011-01-14,21953.08,False
2011-01-14,33,2011-01-14,25937.83,False
2011-01-14,8,2011-01-14,38788.39,False
2011-01-14,44,2011-01-14,29673.89,False
2011-01-14,21,2011-01-14,12105.66,False
2011-01-14,14,2011-01-14,105473.17,False
2011-01-14,41,2011-01-14,68510.91,False
2011-01-14,10,2011-01-14,15217.72,False
2011-01-14,28,2011-01-14,58150.37,False
2011-01-14,39,2011-01-14,74027.41,False
2011-01-14,36,2011-01-14,44197.19,False
2011-01-14,32,2011-01-14,62076.77,False
2011-01-14,18,2011-01-14,15478.27,False
2011-01-14,7,2011-01-14,17387.43,False
2011-01-14,25,2011-01-14,12376.19,False
2011-01-14,43,2011-01-14,64541.91,False
2011-01-14,5,2011-01-14,3221.3,False
2011-01-14,26,2011-01-14,52428.88,False
2011-01-14,37,2011-01-14,46022.11,False
2011-01-14,17,2011-01-14,28984.17,False
2011-01-14,9,2011-01-14,2615.44,False
2011-01-14,3,2011-01-14,1427.44,False
2011-01-14,27,2011-01-14,99642.38,False
2011-01-14,16,2011-01-14,6416.87,False
2011-01-14,34,2011-01-14,43316.44,False
2011-01-14,1,2011-01-14,82043.47,False
2011-01-14,6,2011-01-14,51712.29,False
2011-01-14,35,2011-01-14,12806.1,False
2011-01-14,38,2011-01-14,33078.41,False
2011-01-14,31,2011-01-14,87393.68,False
2011-01-14,23,2011-01-14,22236.32,False
2011-01-14,42,2011-01-14,60475.06,False
2011-01-14,12,2011-01-14,10176.25,False
2011-01-14,29,2011-01-14,11374.78,False
2011-01-14,24,2011-01-14,74687.43,False
2011-01-14,19,2011-01-14,67656.58,False
2011-01-14,4,2011-01-14,89756.71,False
2011-01-14,40,2011-01-14,57449.58,False
2011-01-14,20,2011-01-14,110218.99,False
2011-01-14,11,2011-01-14,50925.53,False
2011-01-14,15,2011-01-14,5313.86,False
2011-01-14,13,2011-01-14,112659.54,False
2011-01-14,45,2011-01-14,24049.16,False
2011-01-21,23,2011-01-21,24254.25,False
2011-01-21,14,2011-01-21,106068.93,False
2011-01-21,21,2011-01-21,11046.5,False
2011-01-21,10,2011-01-21,14503.0,False
2011-01-21,1,2011-01-21,76077.62,False
2011-01-21,40,2011-01-21,57057.02,False
2011-01-21,12,2011-01-21,10176.49,False
2011-01-21,22,2011-01-21,23477.66,False
2011-01-21,29,2011-01-21,12796.22,False
2011-01-21,18,2011-01-21,17266.56,False
2011-01-21,7,2011-01-21,15564.46,False
2011-01-21,17,2011-01-21,31321.77,False
2011-01-21,6,2011-01-21,50507.15,False
2011-01-21,35,2011-01-21,12521.39,False
2011-01-21,45,2011-01-21,23424.31,False
2011-01-21,44,2011-01-21,30100.27,False
2011-01-21,36,2011-01-21,41040.01,False
2011-01-21,24,2011-01-21,70398.13,False
2011-01-21,11,2011-01-21,48616.91,False
2011-01-21,33,2011-01-21,24391.16,False
2011-01-21,2,2011-01-21,98242.51,False
2011-01-21,13,2011-01-21,119876.33,False
2011-01-21,34,2011-01-21,44386.34,False
2011-01-21,25,2011-01-21,11673.05,False
2011-01-21,28,2011-01-21,57467.75,False
2011-01-21,5,2011-01-21,3197.77,False
2011-01-21,38,2011-01-21,31381.27,False
2011-01-21,37,2011-01-21,44926.6,False
2011-01-21,20,2011-01-21,97059.53,False
2011-01-21,3,2011-01-21,1295.45,False
2011-01-21,39,2011-01-21,77042.34,False
2011-01-21,42,2011-01-21,51011.97,False
2011-01-21,30,2011-01-21,34160.71,False
2011-01-21,31,2011-01-21,84014.04,False
2011-01-21,16,2011-01-21,6238.01,False
2011-01-21,27,2011-01-21,98861.76,False
2011-01-21,41,2011-01-21,71519.69,False
2011-01-21,32,2011-01-21,64290.56,False
2011-01-21,15,2011-01-21,5843.37,False
2011-01-21,43,2011-01-21,61510.02,False
2011-01-21,19,2011-01-21,65304.08,False
2011-01-21,4,2011-01-21,91557.61,False
2011-01-21,26,2011-01-21,52580.06,False
2011-01-21,8,2011-01-21,37273.41,False
2011-01-21,9,2011-01-21,2751.33,False
2011-01-28,36,2011-01-28,37083.49,False
2011-01-28,30,2011-01-28,32704.09,False
2011-01-28,16,2011-01-28,6244.25,False
2011-01-28,33,2011-01-28,22159.49,False
2011-01-28,38,2011-01-28,32430.95,False
2011-01-28,6,2011-01-28,48146.94,False
2011-01-28,3,2011-01-28,1363.92,False
2011-01-28,35,2011-01-28,11734.79,False
2011-01-28,5,2011-01-28,3014.02,False
2011-01-28,29,2011-01-28,10827.66,False
2011-01-28,20,2011-01-28,89222.54,False
2011-01-28,17,2011-01-28,30013.9,False
2011-01-28,22,2011-01-28,22568.71,False
2011-01-28,45,2011-01-28,24142.75,False
2011-01-28,13,2011-01-28,108125.26,False
2011-01-28,9,2011-01-28,2668.99,False
2011-01-28,15,2011-01-28,5443.5,False
2011-01-28,31,2011-01-28,75815.27,False
2011-01-28,11,2011-01-28,44244.03,False
2011-01-28,2,2011-01-28,91470.84,False
2011-01-28,44,2011-01-28,29957.7,False
2011-01-28,24,2011-01-28,69893.71,False
2011-01-28,26,2011-01-28,50409.2,False
2011-01-28,28,2011-01-28,53119.09,False
2011-01-28,12,2011-01-28,10293.35,False
2011-01-28,23,2011-01-28,23856.0,False
2011-01-28,41,2011-01-28,64799.92,False
2011-01-28,4,2011-01-28,82168.16,False
2011-01-28,18,2011-01-28,16704.43,False
2011-01-28,32,2011-01-28,59936.97,False
2011-01-28,37,2011-01-28,44066.36,False
2011-01-28,27,2011-01-28,92278.04,False
2011-01-28,7,2011-01-28,15637.24,False
2011-01-28,39,2011-01-28,71741.88,False
2011-01-28,1,2011-01-28,72861.66,False
2011-01-28,19,2011-01-28,68775.9,False
2011-01-28,21,2011-01-28,10729.02,False
2011-01-28,8,2011-01-28,35653.8,False
2011-01-28,34,2011-01-28,38763.21,False
2011-01-28,42,2011-01-28,48908.63,False
2011-01-28,25,2011-01-28,12381.01,False
2011-01-28,43,2011-01-28,57651.16,False
2011-01-28,40,2011-01-28,56103.41,False
2011-01-28,14,2011-01-28,100152.07,False
2011-01-28,10,2011-01-28,14614.15,False
2011-02-04,8,2011-02-04,41821.97,False
2011-02-04,31,2011-02-04,94412.37,False
2011-02-04,4,2011-02-04,94975.59,False
2011-02-04,12,2011-02-04,10791.9,False
2011-02-04,27,2011-02-04,107526.22,False
2011-02-04,23,2011-02-04,24675.49,False
2011-02-04,19,2011-02-04,73055.83,False
2011-02-04,35,2011-02-04,13036.13,False
2011-02-04,1,2011-02-04,86958.66,False
2011-02-04,38,2011-02-04,37121.5,False
2011-02-04,16,2011-02-04,6792.34,False
2011-02-04,34,2011-02-04,46639.48,False
2011-02-04,6,2011-02-04,57631.63,False
2011-02-04,29,2011-02-04,12828.74,False
2011-02-04,45,2011-02-04,26097.23,False
2011-02-04,42,2011-02-04,59510.09,False
2011-02-04,17,2011-02-04,32832.22,False
2011-02-04,25,2011-02-04,12266.93,False
2011-02-04,26,2011-02-04,54198.78,False
2011-02-04,24,2011-02-04,78370.11,False
2011-02-04,21,2011-02-04,10856.57,False
2011-02-04,43,2011-02-04,67181.12,False
2011-02-04,37,2011-02-04,51597.54,False
2011-02-04,7,2011-02-04,15837.97,False
2011-02-04,44,2011-02-04,30497.85,False
2011-02-04,10,2011-02-04,15531.61,False
2011-02-04,28,2011-02-04,78375.17,False
2011-02-04,39,2011-02-04,84927.2,False
2011-02-04,41,2011-02-04,77249.89,False
2011-02-04,14,2011-02-04,118653.52,False
2011-02-04,32,2011-02-04,66431.1,False
2011-02-04,3,2011-02-04,1562.31,False
2011-02-04,18,2011-02-04,17375.35,False
2011-02-04,36,2011-02-04,42227.86,False
2011-02-04,40,2011-02-04,65324.37,False
2011-02-04,9,2011-02-04,2967.74,False
2011-02-04,20,2011-02-04,110802.21,False
2011-02-04,5,2011-02-04,3481.16,False
2011-02-04,30,2011-02-04,42699.41,False
2011-02-04,33,2011-02-04,22812.46,False
2011-02-04,15,2011-02-04,5656.73,False
2011-02-04,22,2011-02-04,24772.68,False
2011-02-04,13,2011-02-04,114173.15,False
2011-02-04,2,2011-02-04,109785.82,False
2011-02-04,11,2011-02-04,53567.01,False
2011-02-11,28,2011-02-11,62532.13,True
2011-02-11,4,2011-02-11,92646.93,True
2011-02-11,43,2011-02-11,60068.24,True
2011-02-11,23,2011-02-11,23678.01,True
2011-02-11,3,2011-02-11,1340.18,True
2011-02-11,22,2011-02-11,21830.05,True
2011-02-11,42,2011-02-11,59662.6,True
2011-02-11,18,2011-02-11,17351.83,True
2011-02-11,20,2011-02-11,103204.45,True
2011-02-11,27,2011-02-11,98757.68,True
2011-02-11,5,2011-02-11,3127.24,True
2011-02-11,41,2011-02-11,69973.3,True
2011-02-11,1,2011-02-11,80990.37,True
2011-02-11,45,2011-02-11,23954.34,True
2011-02-11,21,2011-02-11,10903.84,True
2011-02-11,25,2011-02-11,11829.74,True
2011-02-11,2,2011-02-11,109500.31,True
2011-02-11,44,2011-02-11,30288.0,True
2011-02-11,26,2011-02-11,61639.65,True
2011-02-11,6,2011-02-11,52245.19,True
2011-02-11,19,2011-02-11,73564.22,True
2011-02-11,24,2011-02-11,76213.95,True
2011-02-11,40,2011-02-11,62183.94,True
2011-02-11,14,2011-02-11,112932.48,True
2011-02-11,39,2011-02-11,71966.57,True
2011-02-11,30,2011-02-11,36042.59,True
2011-02-11,33,2011-02-11,26101.19,True
2011-02-11,35,2011-02-11,11636.9,True
2011-02-11,34,2011-02-11,44270.97,True
2011-02-11,29,2011-02-11,10769.17,True
2011-02-11,8,2011-02-11,39314.14,True
2011-02-11,9,2011-02-11,2656.86,True
2011-02-11,15,2011-02-11,5143.76,True
2011-02-11,10,2011-02-11,15213.3,True
2011-02-11,12,2011-02-11,10266.57,True
2011-02-11,16,2011-02-11,6173.74,True
2011-02-11,17,2011-02-11,28905.68,True
2011-02-11,7,2011-02-11,17124.1,True
2011-02-11,38,2011-02-11,33017.27,True
2011-02-11,31,2011-02-11,90114.55,True
2011-02-11,32,2011-02-11,63265.44,True
2011-02-11,37,2011-02-11,42662.22,True
2011-02-11,36,2011-02-11,38821.07,True
2011-02-11,13,2011-02-11,114002.72,True
2011-02-11,11,2011-02-11,49820.43,True
2011-02-18,28,2011-02-18,59073.26,False
2011-02-18,10,2011-02-18,13883.07,False
2011-02-18,2,2011-02-18,93696.04,False
2011-02-18,21,2011-02-18,11774.53,False
2011-02-18,4,2011-02-18,89474.62,False
2011-02-18,25,2011-02-18,11147.8,False
2011-02-18,27,2011-02-18,100234.0,False
2011-02-18,44,2011-02-18,28744.98,False
2011-02-18,36,2011-02-18,39975.73,False
2011-02-18,35,2011-02-18,12258.78,False
2011-02-18,1,2011-02-18,75949.49,False
2011-02-18,45,2011-02-18,23392.46,False
2011-02-18,7,2011-02-18,16656.81,False
2011-02-18,18,2011-02-18,15182.14,False
2011-02-18,20,2011-02-18,95436.56,False
2011-02-18,38,2011-02-18,32602.62,False
2011-02-18,9,2011-02-18,2761.53,False
2011-02-18,17,2011-02-18,28165.29,False
2011-02-18,42,2011-02-18,50691.85,False
2011-02-18,15,2011-02-18,4997.76,False
2011-02-18,34,2011-02-18,43016.19,False
2011-02-18,31,2011-02-18,89048.64,False
2011-02-18,40,2011-02-18,60517.31,False
2011-02-18,33,2011-02-18,22424.98,False
2011-02-18,30,2011-02-18,32126.99,False
2011-02-18,5,2011-02-18,2908.0,False
2011-02-18,22,2011-02-18,21016.16,False
2011-02-18,43,2011-02-18,59350.56,False
2011-02-18,37,2011-02-18,42425.52,False
2011-02-18,11,2011-02-18,49005.98,False
2011-02-18,13,2011-02-18,113209.04,False
2011-02-18,16,2011-02-18,6139.75,False
2011-02-18,23,2011-02-18,23480.91,False
2011-02-18,12,2011-02-18,10372.94,False
2011-02-18,14,2011-02-18,108193.74,False
2011-02-18,3,2011-02-18,1442.64,False
2011-02-18,32,2011-02-18,62249.23,False
2011-02-18,8,2011-02-18,38911.09,False
2011-02-18,24,2011-02-18,72522.56,False
2011-02-18,26,2011-02-18,54621.99,False
2011-02-18,19,2011-02-18,67520.44,False
2011-02-18,6,2011-02-18,50904.79,False
2011-02-18,29,2011-02-18,10964.29,False
2011-02-18,39,2011-02-18,73205.52,False
2011-02-18,41,2011-02-18,69790.94,False
2011-02-25,33,2011-02-25,22544.71,False
2011-02-25,39,2011-02-25,70848.78,False
2011-02-25,4,2011-02-25,85751.51,False
2011-02-25,36,2011-02-25,35518.35,False
2011-02-25,5,2011-02-25,2858.05,False
2011-02-25,45,2011-02-25,24162.03,False
2011-02-25,22,2011-02-25,22818.63,False
2011-02-25,42,2011-02-25,49128.69,False
2011-02-25,2,2011-02-25,88072.65,False
2011-02-25,44,2011-02-25,29581.32,False
2011-02-25,8,2011-02-25,37148.17,False
2011-02-25,28,2011-02-25,58271.0,False
2011-02-25,13,2011-02-25,111554.59,False
2011-02-25,16,2011-02-25,6480.66,False
2011-02-25,35,2011-02-25,11985.3,False
2011-02-25,24,2011-02-25,70182.13,False
2011-02-25,41,2011-02-25,67680.3,False
2011-02-25,19,2011-02-25,66198.3,False
2011-02-25,11,2011-02-25,45715.13,False
2011-02-25,38,2011-02-25,32650.76,False
2011-02-25,27,2011-02-25,104327.47,False
2011-02-25,30,2011-02-25,32198.33,False
2011-02-25,31,2011-02-25,84751.07,False
2011-02-25,14,2011-02-25,111366.67,False
2011-02-25,29,2011-02-25,11243.12,False
2011-02-25,6,2011-02-25,48486.46,False
2011-02-25,20,2011-02-25,92990.15,False
2011-02-25,26,2011-02-25,54358.23,False
2011-02-25,34,2011-02-25,41169.63,False
